Regular round: 1200, training accuracy = 0.418.
Regular round: 35200, training accuracy = 0.968.
Regular round: 35400, training accuracy = 0.968.
Regular round: 35600, training accuracy = 0.968.
Regular round: 35800, training accuracy = 0.968.
Regular round: 36000, training accuracy = 0.968.
Regular round: 36200, training accuracy = 0.968.
Regular round: 36400, training accuracy = 0.968.
Regular round: 36600, training accuracy = 0.968.
Regular round: 36800, training accuracy = 0.968.
Regular round: 37000, training accuracy = 0.968.
Regular round: 37200, training accuracy = 0.968.
Regular round: 37400, training accuracy = 0.968.
Regular round: 37600, training accuracy = 0.968.
Regular round: 37800, training accuracy = 0.968.
Regular round: 38000, training accuracy = 0.968.
Regular round: 38200, training accuracy = 0.968.
Regular round: 38400, training accuracy = 0.968.
Regular round: 38600, training accuracy = 0.968.
Regular round: 38800, training accuracy = 0.968.
Regular round: 39000, training accuracy = 0.968.
Regular round: 39200, training accuracy = 0.968.
Regular round: 39400, training accuracy = 0.968.
Regular round: 39600, training accuracy = 0.968.
Regular round: 39800, training accuracy = 0.968.
Regular round: 40000, training accuracy = 0.968.
Regular round: 40200, training accuracy = 0.968.
Regular round: 40400, training accuracy = 0.968.
Regular round: 40600, training accuracy = 0.968.
Regular round: 40800, training accuracy = 0.968.
Regular round: 41000, training accuracy = 0.968.
Regular round: 41200, training accuracy = 0.968.
Regular round: 41400, training accuracy = 0.968.
Regular round: 41600, training accuracy = 0.968.
Regular round: 41800, training accuracy = 0.968.
Regular round: 42000, training accuracy = 0.968.
Regular round: 42200, training accuracy = 0.968.
Regular round: 42400, training accuracy = 0.968.
Regular round: 42600, training accuracy = 0.968.
Regular round: 42800, training accuracy = 0.968.
Regular round: 43000, training accuracy = 0.968.
Regular round: 43200, training accuracy = 0.968.
Regular round: 43400, training accuracy = 0.97.
Regular round: 43600, training accuracy = 0.97.
Regular round: 43800, training accuracy = 0.97.
Regular round: 44000, training accuracy = 0.97.
Regular round: 44200, training accuracy = 0.97.
Regular round: 44400, training accuracy = 0.97.
Regular round: 44600, training accuracy = 0.97.
Regular round: 44800, training accuracy = 0.97.
Regular round: 45000, training accuracy = 0.97.
Regular round: 45200, training accuracy = 0.97.
Regular round: 45400, training accuracy = 0.97.
Regular round: 45600, training accuracy = 0.97.
Regular round: 45800, training accuracy = 0.97.
Regular round: 46000, training accuracy = 0.97.
Regular round: 46200, training accuracy = 0.97.
Regular round: 46400, training accuracy = 0.97.
Regular round: 46600, training accuracy = 0.97.
Regular round: 46800, training accuracy = 0.97.
Regular round: 47000, training accuracy = 0.97.
Regular round: 47200, training accuracy = 0.97.
Regular round: 47400, training accuracy = 0.97.
Regular round: 47600, training accuracy = 0.97.
Regular round: 47800, training accuracy = 0.97.
Regular round: 48000, training accuracy = 0.97.
Regular round: 48200, training accuracy = 0.97.
Regular round: 48400, training accuracy = 0.97.
Regular round: 48600, training accuracy = 0.97.
Regular round: 48800, training accuracy = 0.97.
Regular round: 49000, training accuracy = 0.97.
Regular round: 49200, training accuracy = 0.97.
Regular round: 49400, training accuracy = 0.97.
Regular round: 49600, training accuracy = 0.97.
Regular round: 49800, training accuracy = 0.97.
Regular round: 50000, training accuracy = 0.97.
Regular round: 50200, training accuracy = 0.97.
Regular round: 50400, training accuracy = 0.97.
Regular round: 50600, training accuracy = 0.97.
Regular round: 50800, training accuracy = 0.97.
Regular round: 51000, training accuracy = 0.97.
Regular round: 51200, training accuracy = 0.97.
Regular round: 51400, training accuracy = 0.97.
Regular round: 51600, training accuracy = 0.97.
Regular round: 51800, training accuracy = 0.97.
Regular round: 52000, training accuracy = 0.97.
Regular round: 52200, training accuracy = 0.97.
Regular round: 52400, training accuracy = 0.97.
Regular round: 52600, training accuracy = 0.97.
Regular round: 52800, training accuracy = 0.97.
Regular round: 53000, training accuracy = 0.97.
Regular round: 53200, training accuracy = 0.97.
Regular round: 53400, training accuracy = 0.97.
Regular round: 53600, training accuracy = 0.97.
Regular round: 53800, training accuracy = 0.97.
Regular round: 54000, training accuracy = 0.97.
Regular round: 54200, training accuracy = 0.97.
Regular round: 54400, training accuracy = 0.97.
Regular round: 54600, training accuracy = 0.97.
Regular round: 54800, training accuracy = 0.97.
Regular round: 55000, training accuracy = 0.97.
Regular round: 55200, training accuracy = 0.97.
Regular round: 55400, training accuracy = 0.97.
Regular round: 55600, training accuracy = 0.97.
Regular round: 55800, training accuracy = 0.97.
Regular round: 56000, training accuracy = 0.97.
Regular round: 56200, training accuracy = 0.97.
Regular round: 56400, training accuracy = 0.97.
Regular round: 56600, training accuracy = 0.97.
Regular round: 56800, training accuracy = 0.97.
Regular round: 57000, training accuracy = 0.97.
Regular round: 57200, training accuracy = 0.97.
Regular round: 57400, training accuracy = 0.97.
Regular round: 57600, training accuracy = 0.97.
Regular round: 57800, training accuracy = 0.97.
Regular round: 58000, training accuracy = 0.97.
Regular round: 58200, training accuracy = 0.972.
Regular round: 58400, training accuracy = 0.972.
Regular round: 58600, training accuracy = 0.97.
Regular round: 58800, training accuracy = 0.97.
Regular round: 59000, training accuracy = 0.97.
Regular round: 59200, training accuracy = 0.972.
Regular round: 59400, training accuracy = 0.972.
Regular round: 59600, training accuracy = 0.972.
Regular round: 59800, training accuracy = 0.972.
Regular round: 60000, training accuracy = 0.972.
Regular round: 60200, training accuracy = 0.972.
Regular round: 60400, training accuracy = 0.972.
Regular round: 60600, training accuracy = 0.972.
Regular round: 60800, training accuracy = 0.972.
Regular round: 61000, training accuracy = 0.972.
Regular round: 61200, training accuracy = 0.972.
Regular round: 61400, training accuracy = 0.972.
Regular round: 61600, training accuracy = 0.972.
Regular round: 61800, training accuracy = 0.972.
Regular round: 62000, training accuracy = 0.972.
Regular round: 62200, training accuracy = 0.972.
Regular round: 62400, training accuracy = 0.972.
Regular round: 62600, training accuracy = 0.972.
Regular round: 62800, training accuracy = 0.972.
Regular round: 63000, training accuracy = 0.972.
Regular round: 63200, training accuracy = 0.972.
Regular round: 63400, training accuracy = 0.972.
Regular round: 63600, training accuracy = 0.972.
Regular round: 63800, training accuracy = 0.972.
Regular round: 64000, training accuracy = 0.972.
Regular round: 64200, training accuracy = 0.972.
Regular round: 64400, training accuracy = 0.972.
Regular round: 64600, training accuracy = 0.972.
Regular round: 64800, training accuracy = 0.972.
Regular round: 65000, training accuracy = 0.972.
Regular round: 65200, training accuracy = 0.972.
Regular round: 65400, training accuracy = 0.972.
Regular round: 65600, training accuracy = 0.972.
Regular round: 65800, training accuracy = 0.972.
Regular round: 66000, training accuracy = 0.972.
Regular round: 66200, training accuracy = 0.972.
Regular round: 66400, training accuracy = 0.972.
Regular round: 66600, training accuracy = 0.972.
Regular round: 66800, training accuracy = 0.972.
Regular round: 67000, training accuracy = 0.972.
Regular round: 67200, training accuracy = 0.972.
Regular round: 67400, training accuracy = 0.972.
Regular round: 67600, training accuracy = 0.972.
Regular round: 67800, training accuracy = 0.972.
Regular round: 68000, training accuracy = 0.972.
Regular round: 68200, training accuracy = 0.972.
Regular round: 68400, training accuracy = 0.972.
Regular round: 68600, training accuracy = 0.972.
Regular round: 68800, training accuracy = 0.972.
Regular round: 69000, training accuracy = 0.972.
Regular round: 69200, training accuracy = 0.972.
Regular round: 69400, training accuracy = 0.972.
Regular round: 69600, training accuracy = 0.972.
Regular round: 69800, training accuracy = 0.972.
Regular round: 70000, training accuracy = 0.972.
Regular round: 70200, training accuracy = 0.972.
Regular round: 70400, training accuracy = 0.972.
Regular round: 70600, training accuracy = 0.972.
Regular round: 70800, training accuracy = 0.972.
Regular round: 71000, training accuracy = 0.972.
Regular round: 71200, training accuracy = 0.972.
Regular round: 71400, training accuracy = 0.972.
Regular round: 71600, training accuracy = 0.972.
Regular round: 71800, training accuracy = 0.972.
Regular round: 72000, training accuracy = 0.972.
Regular round: 72200, training accuracy = 0.972.
Regular round: 72400, training accuracy = 0.972.
Regular round: 72600, training accuracy = 0.972.
Regular round: 72800, training accuracy = 0.972.
Regular round: 73000, training accuracy = 0.972.
Regular round: 73200, training accuracy = 0.972.
Regular round: 73400, training accuracy = 0.972.
Regular round: 73600, training accuracy = 0.972.
Regular round: 73800, training accuracy = 0.972.
Regular round: 74000, training accuracy = 0.972.
Regular round: 74200, training accuracy = 0.972.
Regular round: 74400, training accuracy = 0.972.
Regular round: 74600, training accuracy = 0.972.
Regular round: 74800, training accuracy = 0.972.
Regular round: 75000, training accuracy = 0.972.
Regular round: 75200, training accuracy = 0.972.
Regular round: 75400, training accuracy = 0.972.
Regular round: 75600, training accuracy = 0.972.
Regular round: 75800, training accuracy = 0.972.
Regular round: 76000, training accuracy = 0.972.
Regular round: 76200, training accuracy = 0.972.
Regular round: 76400, training accuracy = 0.972.
Regular round: 76600, training accuracy = 0.972.
Regular round: 76800, training accuracy = 0.972.
Regular round: 77000, training accuracy = 0.972.
Regular round: 77200, training accuracy = 0.972.
Regular round: 77400, training accuracy = 0.972.
Regular round: 77600, training accuracy = 0.972.
Regular round: 77800, training accuracy = 0.972.
Regular round: 78000, training accuracy = 0.972.
Regular round: 78200, training accuracy = 0.972.
Regular round: 78400, training accuracy = 0.972.
Regular round: 78600, training accuracy = 0.972.
Regular round: 78800, training accuracy = 0.972.
Regular round: 79000, training accuracy = 0.972.
Regular round: 79200, training accuracy = 0.972.
Regular round: 79400, training accuracy = 0.972.
Regular round: 79600, training accuracy = 0.972.
Regular round: 79800, training accuracy = 0.972.
Regular round: 80000, training accuracy = 0.972.
Regular round: 80200, training accuracy = 0.972.
Regular round: 80400, training accuracy = 0.972.
Regular round: 80600, training accuracy = 0.972.
Regular round: 80800, training accuracy = 0.972.
Regular round: 81000, training accuracy = 0.972.
Regular round: 81200, training accuracy = 0.972.
Regular round: 81400, training accuracy = 0.972.
Regular round: 81600, training accuracy = 0.972.
Regular round: 81800, training accuracy = 0.972.
Regular round: 82000, training accuracy = 0.972.
Regular round: 82200, training accuracy = 0.972.
Regular round: 82400, training accuracy = 0.972.
Regular round: 82600, training accuracy = 0.972.
Regular round: 82800, training accuracy = 0.972.
Regular round: 83000, training accuracy = 0.972.
Regular round: 83200, training accuracy = 0.972.
Regular round: 83400, training accuracy = 0.972.
Regular round: 83600, training accuracy = 0.972.
Regular round: 83800, training accuracy = 0.972.
Regular round: 84000, training accuracy = 0.972.
Regular round: 84200, training accuracy = 0.972.
Regular round: 84400, training accuracy = 0.972.
Regular round: 84600, training accuracy = 0.972.
Regular round: 84800, training accuracy = 0.972.
Regular round: 85000, training accuracy = 0.972.
Regular round: 85200, training accuracy = 0.972.
Regular round: 85400, training accuracy = 0.972.
Regular round: 85600, training accuracy = 0.972.
Regular round: 85800, training accuracy = 0.972.
Regular round: 86000, training accuracy = 0.972.
Regular round: 86200, training accuracy = 0.972.
Regular round: 86400, training accuracy = 0.972.
Regular round: 86600, training accuracy = 0.972.
Regular round: 86800, training accuracy = 0.972.
Regular round: 87000, training accuracy = 0.972.
Regular round: 87200, training accuracy = 0.972.
Regular round: 87400, training accuracy = 0.972.
Regular round: 87600, training accuracy = 0.972.
Regular round: 87800, training accuracy = 0.972.
Regular round: 88000, training accuracy = 0.972.
Regular round: 88200, training accuracy = 0.972.
Regular round: 88400, training accuracy = 0.972.
Regular round: 88600, training accuracy = 0.972.
Regular round: 88800, training accuracy = 0.972.
Regular round: 89000, training accuracy = 0.972.
Regular round: 89200, training accuracy = 0.972.
Regular round: 89400, training accuracy = 0.972.
Regular round: 89600, training accuracy = 0.972.
Regular round: 89800, training accuracy = 0.972.
Regular round: 90000, training accuracy = 0.972.
Regular round: 90200, training accuracy = 0.972.
Regular round: 90400, training accuracy = 0.972.
Regular round: 90600, training accuracy = 0.972.
Regular round: 90800, training accuracy = 0.972.
Regular round: 91000, training accuracy = 0.972.
Regular round: 91200, training accuracy = 0.972.
Regular round: 91400, training accuracy = 0.972.
Regular round: 91600, training accuracy = 0.972.
Regular round: 91800, training accuracy = 0.972.
Regular round: 92000, training accuracy = 0.972.
Regular round: 92200, training accuracy = 0.972.
Regular round: 92400, training accuracy = 0.972.
Regular round: 92600, training accuracy = 0.972.
Regular round: 92800, training accuracy = 0.972.
Regular round: 93000, training accuracy = 0.972.
Regular round: 93200, training accuracy = 0.972.
Regular round: 93400, training accuracy = 0.972.
Regular round: 93600, training accuracy = 0.972.
Regular round: 93800, training accuracy = 0.972.
Regular round: 94000, training accuracy = 0.972.
Regular round: 94200, training accuracy = 0.972.
Regular round: 94400, training accuracy = 0.972.
Regular round: 94600, training accuracy = 0.972.
Regular round: 94800, training accuracy = 0.972.
Regular round: 95000, training accuracy = 0.972.
Regular round: 95200, training accuracy = 0.972.
Regular round: 95400, training accuracy = 0.972.
Regular round: 95600, training accuracy = 0.972.
Regular round: 95800, training accuracy = 0.972.
Regular round: 96000, training accuracy = 0.972.
Regular round: 96200, training accuracy = 0.972.
Regular round: 96400, training accuracy = 0.972.
Regular round: 96600, training accuracy = 0.972.
Regular round: 96800, training accuracy = 0.972.
Regular round: 97000, training accuracy = 0.972.
Regular round: 97200, training accuracy = 0.972.
Regular round: 97400, training accuracy = 0.972.
Regular round: 97600, training accuracy = 0.972.
Regular round: 97800, training accuracy = 0.972.
Regular round: 98000, training accuracy = 0.972.
Regular round: 98200, training accuracy = 0.972.
Regular round: 98400, training accuracy = 0.972.
Regular round: 98600, training accuracy = 0.972.
Regular round: 98800, training accuracy = 0.972.
Regular round: 99000, training accuracy = 0.972.
Regular round: 99200, training accuracy = 0.972.
Regular round: 99400, training accuracy = 0.972.
Regular round: 99600, training accuracy = 0.972.
Regular round: 99800, training accuracy = 0.972.
Regular round: 100000, training accuracy = 0.972.
The label scarcity array is: [0.15177065767284992, 0.12478920741989882, 0.16020236087689713, 0.12478920741989882, 0.1399662731871838, 0.14165261382799327]
